,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,2Fxmhks0bxGSBdJ92vM42m,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,194088,4
1,0.792,0.32,0,-16.387,0,0.388,0.204,0.955,0.106,0.59,135.0,audio_features,2ktuJSnA0K4YwRZOKYCWl6,spotify:track:2ktuJSnA0K4YwRZOKYCWl6,https://api.spotify.com/v1/tracks/2ktuJSnA0K4YwRZOKYCWl6,https://api.spotify.com/v1/audio-analysis/2ktuJSnA0K4YwRZOKYCWl6,149454,4
2,0.612,0.797,1,-3.648,1,0.448,0.064,0.0,0.257,0.358,81.086,audio_features,3IaAYtmN8T0YIYVqnxNnVz,spotify:track:3IaAYtmN8T0YIYVqnxNnVz,https://api.spotify.com/v1/tracks/3IaAYtmN8T0YIYVqnxNnVz,https://api.spotify.com/v1/audio-analysis/3IaAYtmN8T0YIYVqnxNnVz,434077,4
3,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,0ae2Bmei6kzUKjDVl7B7q8,spotify:track:0ae2Bmei6kzUKjDVl7B7q8,https://api.spotify.com/v1/tracks/0ae2Bmei6kzUKjDVl7B7q8,https://api.spotify.com/v1/audio-analysis/0ae2Bmei6kzUKjDVl7B7q8,194088,4
4,0.563,0.814,7,-4.219,0,0.0558,0.00983,0.0437,0.0732,0.796,140.615,audio_features,0iM1Ioz4N4p7MU1DKyqsov,spotify:track:0iM1Ioz4N4p7MU1DKyqsov,https://api.spotify.com/v1/tracks/0iM1Ioz4N4p7MU1DKyqsov,https://api.spotify.com/v1/audio-analysis/0iM1Ioz4N4p7MU1DKyqsov,157832,4
5,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,audio_features,3yNZ5r3LKfdmjoS3gkhUCT,spotify:track:3yNZ5r3LKfdmjoS3gkhUCT,https://api.spotify.com/v1/tracks/3yNZ5r3LKfdmjoS3gkhUCT,https://api.spotify.com/v1/audio-analysis/3yNZ5r3LKfdmjoS3gkhUCT,194840,4
6,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,audio_features,3af12JOqAr9iUbpTNytIWo,spotify:track:3af12JOqAr9iUbpTNytIWo,https://api.spotify.com/v1/tracks/3af12JOqAr9iUbpTNytIWo,https://api.spotify.com/v1/audio-analysis/3af12JOqAr9iUbpTNytIWo,194088,4
7,0.656,0.465,0,-12.132,1,0.0311,0.368,0.0,0.155,0.778,96.93,audio_features,4FoRp17jtblWkNCfPe9QEU,spotify:track:4FoRp17jtblWkNCfPe9QEU,https://api.spotify.com/v1/tracks/4FoRp17jtblWkNCfPe9QEU,https://api.spotify.com/v1/audio-analysis/4FoRp17jtblWkNCfPe9QEU,144170,4
8,0.698,0.323,5,-9.98,1,0.178,0.914,0.037,0.0991,0.67,135.069,audio_features,1qOsHMitiWT4Zhx9ICzmjW,spotify:track:1qOsHMitiWT4Zhx9ICzmjW,https://api.spotify.com/v1/tracks/1qOsHMitiWT4Zhx9ICzmjW,https://api.spotify.com/v1/audio-analysis/1qOsHMitiWT4Zhx9ICzmjW,193227,4
9,0.582,0.829,2,-5.688,1,0.0465,0.000517,0.0,0.266,0.867,130.969,audio_features,0KqyBk4aVT88TEqBIC8mAP,spotify:track:0KqyBk4aVT88TEqBIC8mAP,https://api.spotify.com/v1/tracks/0KqyBk4aVT88TEqBIC8mAP,https://api.spotify.com/v1/audio-analysis/0KqyBk4aVT88TEqBIC8mAP,197800,4
